A,p,D_over_Dc,D,s,margin
2,0.02760795396678143,0.3,6.046923288923755e-05,0.15,0.35018417349974995
2,0.02760795396678143,0.3,6.046923288923755e-05,0.48239918373219925,0.35018244885008487
2,0.02760795396678143,0.3,6.046923288923755e-05,0.8147983674643985,0.3501790985903983
2,0.02760795396678143,0.3,6.046923288923755e-05,1.1471975511965977,0.3501744893041463
2,0.02760795396678143,0.3,6.046923288923755e-05,1.4795967349287968,0.35016912532899913
2,0.02760795396678143,0.3,6.046923288923755e-05,1.8119959186609962,0.3501635938572938
2,0.02760795396678143,0.3,6.046923288923755e-05,2.1443951023931955,0.3501585004415142
2,0.02760795396678143,0.3,6.046923288923755e-05,2.4767942861253944,0.350154402852479
2,0.02760795396678143,0.3,6.046923288923755e-05,2.8091934698575938,0.3501517498458002
2,0.02760795396678143,0.3,6.046923288923755e-05,3.141592653589793,0.35015083199074226
2,0.02760795396678143,0.5,0.00010078205481539593,0.15,0.2502765697851437
2,0.02760795396678143,0.5,0.00010078205481539593,0.48239918373219925,0.25027203732070435
2,0.02760795396678143,0.5,0.00010078205481539593,0.8147983674643985,0.25026323238641246
2,0.02760795396678143,0.5,0.00010078205481539593,1.1471975511965977,0.25025111797370836
2,0.02760795396678143,0.5,0.00010078205481539593,1.4795967349287968,0.2502370197817845
2,0.02760795396678143,0.5,0.00010078205481539593,1.8119959186609962,0.2502224808620186
2,0.02760795396678143,0.5,0.00010078205481539593,2.1443951023931955,0.25020909298625393
2,0.02760795396678143,0.5,0.00010078205481539593,2.4767942861253944,0.2501983222796429
2,0.02760795396678143,0.5,0.00010078205481539593,2.8091934698575938,0.25019134857683456
2,0.02760795396678143,0.5,0.00010078205481539593,3.141592653589793,0.25018893588275337
2,0.02760795396678143,0.7,0.00014109487674155428,0.15,0.15034468000669388
2,0.02760795396678143,0.7,0.00014109487674155428,0.48239918373219925,0.15033630233714823
2,0.02760795396678143,0.7,0.00014109487674155428,0.8147983674643985,0.15032002745875905
2,0.02760795396678143,0.7,0.00014109487674155428,1.1471975511965977,0.15029763522279516
2,0.02760795396678143,0.7,0.00014109487674155428,1.4795967349287968,0.15027157563056925
2,0.02760795396678143,0.7,0.00014109487674155428,1.8119959186609962,0.15024470082388452
2,0.02760795396678143,0.7,0.00014109487674155428,2.1443951023931955,0.15021995315861858
2,0.02760795396678143,0.7,0.00014109487674155428,2.4767942861253944,0.15020004302112167
2,0.02760795396678143,0.7,0.00014109487674155428,2.8091934698575938,0.15018715163175256
2,0.02760795396678143,0.7,0.00014109487674155428,3.141592653589793,0.15018269157877495
2,0.02760795396678143,0.85,0.00017132949318617307,0.15,0.07537983589996045
2,0.02760795396678143,0.85,0.00017132949318617307,0.48239918373219925,0.07536804352456516
2,0.02760795396678143,0.85,0.00017132949318617307,0.8147983674643985,0.0753451337305957
2,0.02760795396678143,0.85,0.00017132949318617307,1.1471975511965977,0.07531361261088021
2,0.02760795396678143,0.85,0.00017132949318617307,1.4795967349287968,0.07527692870725144
2,0.02760795396678143,0.85,0.00017132949318617307,1.8119959186609962,0.0752390969027632
2,0.02760795396678143,0.85,0.00017132949318617307,2.1443951023931955,0.07520425918705231
2,0.02760795396678143,0.85,0.00017132949318617307,2.4767942861253944,0.07517623113705207
2,0.02760795396678143,0.85,0.00017132949318617307,2.8091934698575938,0.07515808347115072
2,0.02760795396678143,0.85,0.00017132949318617307,3.141592653589793,0.07515180487589701
2,0.02760795396678143,1.0,0.00020156410963079185,0.15,0.0004013502069386554
2,0.02760795396678143,1.0,0.00020156410963079185,0.48239918373219925,0.0003858034633779095
2,0.02760795396678143,1.0,0.00020156410963079185,0.8147983674643985,0.0003556002186579921
2,0.02760795396678143,1.0,0.00020156410963079185,1.1471975511965977,0.00031404395712497646
2,0.02760795396678143,1.0,0.00020156410963079185,1.4795967349287968,0.00026568116313674395
2,0.02760795396678143,1.0,0.00020156410963079185,1.8119959186609962,0.0002158048457625572
2,0.02760795396678143,1.0,0.00020156410963079185,2.1443951023931955,0.00016987572017046482
2,0.02760795396678143,1.0,0.00020156410963079185,2.4767942861253944,0.00013292419179911086
